area,bedrooms,bathrooms,parking,price
700,1,1,0,1800000
750,1,1,1,2000000
800,2,1,0,2200000
850,2,1,1,2400000
900,2,1,0,2500000
950,2,1,1,2700000
1000,2,1,1,2900000
1050,2,1,1,3100000
1100,2,1,1,3000000
1150,2,2,1,3300000
1200,2,1,1,3500000
1250,2,2,1,3700000
1300,3,1,1,3800000
1350,3,2,1,4000000
1400,3,2,1,4200000
1450,3,2,1,4400000
1500,3,2,1,4500000
1550,3,2,1,4700000
1600,3,2,1,5000000
1650,3,2,2,5200000
1700,3,2,1,5400000
1750,3,2,2,5600000
1800,3,2,1,5800000
1850,3,2,2,6000000
1900,3,3,2,6500000
1950,3,3,2,6700000
2000,4,2,2,6800000
2050,4,2,2,7000000
2100,4,3,2,7200000
2150,4,3,2,7400000
2200,4,3,2,7500000
2250,4,3,2,7800000
2300,4,3,2,8200000
2350,4,3,2,8400000
2400,4,3,2,8300000
2450,4,3,2,8500000
2500,4,3,2,8500000
2550,4,3,2,8800000
2600,4,4,2,9500000
2650,4,4,2,9700000
2700,4,4,3,10000000
2750,5,3,2,9900000
2800,5,3,2,10000000
2850,5,3,2,10300000
2900,5,4,3,10600000
2950,5,4,3,11000000
3000,5,4,3,12000000
3050,5,4,3,12200000
3100,5,4,3,12500000
3150,5,4,3,12800000
3200,5,4,3,13000000
3250,5,4,3,13500000
3300,5,4,3,13800000
3350,5,4,3,14200000
3400,5,4,3,14500000
3450,5,4,3,14800000
3500,5,4,3,15000000
3550,5,4,3,15300000
3600,6,4,3,15800000
3650,6,4,3,16000000
3700,6,4,3,16500000
3750,6,4,3,16800000
3800,6,5,3,17200000
3850,6,5,3,17500000
3900,6,5,3,17800000
3950,6,5,3,18200000
4000,6,5,4,19000000
700,1,1,0,1700000
800,2,1,1,2300000
900,2,1,1,2600000
1000,2,2,1,3000000
1100,2,2,1,3200000
1200,3,1,1,3500000
1300,3,2,1,3900000
1400,3,2,2,4400000
1500,3,2,2,4800000
1600,3,3,1,5100000
1700,3,3,2,5500000
1800,4,2,2,6000000
1900,4,2,2,6400000
2000,4,3,2,6900000
2100,4,3,3,7500000
2200,4,3,2,7900000
2300,4,4,2,8500000
2400,4,4,3,9000000
2500,5,3,2,9200000
2600,5,3,3,9700000
2700,5,4,2,10300000
2800,5,4,3,10800000
2900,5,4,3,11500000
3000,5,4,3,12100000
3200,6,4,3,13500000
3400,6,4,3,14500000
3600,6,5,3,16000000
3800,6,5,4,17500000
4000,6,5,4,19000000
